tweet_created_at,tweet_display_text_range,tweet_entities,Text,tweet_id,tweet_lang,tweet_metadata,ReplyCount,LikeCount,user_followers_count,user_following,user_id,user_lang,hashtag
Fri Sep 07 16:00:24 +0000 2018,"[0, 235]","{'hashtags': [{'text': 'Nike', 'indices': [39, 44]}, {'text': 'JustDoIt', 'indices': [220, 229]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [230, 235]}], 'urls': [], 'media': [{'id': 1038094638848958465, 'id_str': '1038094638848958465', 'indices': [236, 259], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/DmgNku_UYAEs8Wz.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/DmgNku_UYAEs8Wz.jpg', 'url': 'https://t.co/tZzXRfvOKK', 'display_url': 'pic.twitter.com/tZzXRfvOKK', 'expanded_url': 'https://twitter.com/iLuvUrBlack/status/1038094645119643648/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 498, 'h': 280, 'resize': 'fit'}, 'small': {'w': 498, 'h': 280, 'resize': 'fit'}, 'large': {'w': 498, 'h': 280, 'resize': 'fit'}}}]}",people keep talking going get nike stuff find pair kicks like bro thats wearing since birth wardrobe already lol ill say welcome family justdoit nike,1.03809E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,767,23,FALSE,1.01E+18,en,Nike
Fri Sep 07 16:00:16 +0000 2018,"[0, 195]","{'hashtags': [{'text': 'BREAKING', 'indices': [0, 9]}, {'text': 'MakingWomenLookLikeStormy', 'indices': [74, 100]}, {'text': 'MedicareForAll', 'indices': [113, 128]}, {'text': 'Trump', 'indices': [129, 135]}, {'text': 'TheResistance', 'indices': [136, 150]}, {'text': 'Veterans', 'indices': [151, 160]}, {'text': 'JustDoIt', 'indices': [161, 170]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/49hezDKSnP', 'expanded_url': 'https://www.cnn.com/2018/05/14/politics/melania-trump-surgery/index.html', 'display_url': 'cnn.com/2018/05/14/pol…', 'indices': [172, 195]}]}",breaking walter reed army hospital changes name tits r us makingwomenlooklikestormy since medicareforall trump theresistance veterans justdoit,1.03809E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,142,1382,FALSE,541092864,en,BREAKING
Fri Sep 07 16:00:10 +0000 2018,"[0, 132]","{'hashtags': [{'text': 'JustDoit', 'indices': [45, 54]}, {'text': 'WearingMyNikes', 'indices': [55, 70]}, {'text': 'ShootEmUp', 'indices': [71, 81]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/fsOJNyCOt1', 'expanded_url': 'https://www.instagram.com/p/BnbkdxBhywK/?utm_source=ig_twitter_share&igshid=1ujj6mx4l8nzu', 'display_url': 'instagram.com/p/BnbkdxBhywK/…', 'indices': [109, 132]}]}",color friends think im justdoit wearingmynikes shootemup elm fork shooting sports,1.03809E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,43,1573,FALSE,37002492,en,JustDoit
Fri Sep 07 16:00:07 +0000 2018,"[16, 73]","{'hashtags': [{'text': 'JustDoIt', 'indices': [64, 73]}], 'symbols': [], 'user_mentions': [{'screen_name': 'marcelluswiley', 'name': 'Marcellus Wiley', 'id': 20575752, 'id_str': '20575752', 'indices': [0, 15]}], 'urls': []}",marcelluswiley dont text privately post justdoit,1.03809E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,716,38,FALSE,1618522933,en,JustDoIt
Fri Sep 07 15:59:46 +0000 2018,"[0, 113]","{'hashtags': [{'text': 'justdoit', 'indices': [56, 65]}, {'text': 'fitbit', 'indices': [66, 73]}, {'text': 'beats', 'indices': [74, 80]}, {'text': 'running', 'indices': [81, 89]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cRpxDoHdCT', 'expanded_url': 'https://ift.tt/2Crv0W6', 'display_url': 'ift.tt/2Crv0W6', 'indices': [90, 113]}], 'media': [{'id': 1038094481634062336, 'id_str': '1038094481634062336', 'indices': [114, 137], 'media_url': 'http://pbs.twimg.com/media/DmgNblUXcAAMGSQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DmgNblUXcAAMGSQ.jpg', 'url': 'https://t.co/yCsPw9wCl9', 'display_url': 'pic.twitter.com/yCsPw9wCl9', 'expanded_url': 'https://twitter.com/rricioli/status/1038094482724597761/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 640, 'h': 640, 'resize': 'fit'}, 'large': {'w': 640, 'h': 640, 'resize': 'fit'}, 'small': {'w': 640, 'h': 640, 'resize': 'fit'}}}]}",friday morning runningsun music road freedom justdoit fitbit beats running,1.03809E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,310,153,FALSE,17414442,en,justdoit
Fri Sep 07 15:59:35 +0000 2018,"[0, 132]","{'hashtags': [{'text': 'collusion', 'indices': [9, 19]}, {'text': 'solutions', 'indices': [38, 48]}, {'text': 'justdoit', 'indices': [49, 58]}, {'text': 'peace', 'indices': [68, 74]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AazE0tVG5V', 'expanded_url': 'https://www.instagram.com/p/BnbkgwuhxSeCjLdUwQeHY33jKrabWlnXXrFbKo0/?utm_source=ig_twitter_share&igshid=1mqzc2mj4wx86', 'display_url': 'instagram.com/p/BnbkgwuhxSeC…', 'indices': [109, 132]}]}",collusion problems solutions justdoit rest peace old man woodstocks pizza sdsu,1.03809E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,53,129,FALSE,860061313,en,collusion
Fri Sep 07 15:59:06 +0000 2018,"[0, 276]","{'hashtags': [{'text': 'sweetmen', 'indices': [119, 128]}, {'text': 'writer', 'indices': [129, 136]}, {'text': 'songwriter', 'indices': [137, 148]}, {'text': 'musicianlife', 'indices': [149, 162]}, {'text': 'recordlabel', 'indices': [163, 175]}, {'text': 'recordingartist', 'indices': [176, 192]}, {'text': 'afrobeats', 'indices': [193, 203]}, {'text': 'justdoit', 'indices': [204, 213]}, {'text': 'alaafrica', 'indices': [214, 224]}, {'text': 'alaafricamusic', 'indices': [225, 240]}, {'text': 'liveforever', 'indices': [241, 253]}, {'text': 'album', 'indices': [254, 260]}, {'text': 'nobadsongsever', 'indices': [261, 276]}], 'symbols': [], 'user_mentions': [{'screen_name': 'falzthebahdguy', 'name': '#27', 'id': 58465556, 'id_str': '58465556', 'indices': [37, 52]}, {'screen_name': 'Dr_Alams', 'name': 'The Action Man. 🍁', 'id': 287876075, 'id_str': '287876075', 'indices': [92, 101]}], 'urls': [], 'media': [{'id': 1038094309256556544, 'id_str': '1038094309256556544', 'indices': [277, 300], 'media_url': 'http://pbs.twimg.com/media/DmgNRjKXcAAzebT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DmgNRjKXcAAzebT.jpg', 'url': 'https://t.co/zy6lGt7nfZ', 'display_url': 'pic.twitter.com/zy6lGt7nfZ', 'expanded_url': 'https://twitter.com/Dr_Alams/status/1038094315438919680/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 440, 'h': 440, 'resize': 'fit'}, 'small': {'w': 440, 'h': 440, 'resize': 'fit'}, 'medium': {'w': 440, 'h': 440, 'resize': 'fit'}}}]}",president sweet men association falzthebahdguy still dey look application kelvinalaneme sweetmen writer songwriter musicianlife recordlabel recordingartist afrobeats justdoit alaafrica alaafricamusic liveforever album nobadsongsever,1.03809E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,751,468,FALSE,287876075,en,sweetmen
Fri Sep 07 15:59:05 +0000 2018,"[0, 170]","{'hashtags': [{'text': 'JustDoIt', 'indices': [161, 170]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [0, 5]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [32, 37]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [63, 68]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [110, 115]}, {'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [153, 158]}], 'urls': [], 'media': [{'id': 1038094309117939712, 'id_str': '1038094309117939712', 'indices': [171, 194], 'media_url': 'http://pbs.twimg.com/media/DmgNRipUUAAjNyH.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DmgNRipUUAAjNyH.jpg', 'url': 'https://t.co/6EVg8gmSYI', 'display_url': 'pic.twitter.com/6EVg8gmSYI', 'expanded_url': 'https://twitter.com/DrBHotchkins/status/1038094313924829190/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1072, 'h': 1440, 'resize': 'fit'}, 'medium': {'w': 893, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 506, 'h': 680, 'resize': 'fit'}}}]}",nike supports muslim athletes nike supports black athletes nike supports physically challenged athletes nike supports lgbtqia athletes support nike justdoit,1.03809E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,4508,996,FALSE,17090188,en,JustDoIt
Fri Sep 07 15:58:43 +0000 2018,"[0, 64]","{'hashtags': [{'text': 'JustDoIt', 'indices': [30, 39]}], 'symbols': [], 'user_mentions': [{'screen_name': 'Nike', 'name': 'Nike', 'id': 415859364, 'id_str': '415859364', 'indices': [21, 26]}], 'urls': [{'url': 'https://t.co/n2WB9i343n', 'expanded_url': 'https://www.youtube.com/watch?v=mreQsQrDF-A', 'display_url': 'youtube.com/watch?v=mreQsQ…', 'indices': [41, 64]}]}",nailed well done nike justdoit,1.03809E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,109,19,FALSE,9.02E+17,en,JustDoIt
Fri Sep 07 15:58:40 +0000 2018,"[0, 80]","{'hashtags': [{'text': 'JustDoIt', 'indices': [71, 80]}], 'symbols': [], 'user_mentions': [{'screen_name': 'SenKamalaHarris', 'name': 'Kamala Harris', 'id': 803694179079458816, 'id_str': '803694179079458816', 'indices': [0, 16]}, {'screen_name': 'CoryBooker', 'name': 'Cory Booker', 'id': 15808765, 'id_str': '15808765', 'indices': [17, 28]}, {'screen_name': 'SenFeinstein', 'name': 'Sen Dianne Feinstein', 'id': 476256944, 'id_str': '476256944', 'indices': [29, 42]}], 'urls': [{'url': 'https://t.co/f6aqU8bKQl', 'expanded_url': 'https://twitter.com/brianefallon/status/1038077871707836416', 'display_url': 'twitter.com/brianefallon/s…', 'indices': [81, 104]}]}",senkamalaharris corybooker senfeinstein america americans justdoit,1.03809E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,142703,1073,FALSE,8.23E+17,en,JustDoIt
Fri Sep 07 15:58:38 +0000 2018,"[0, 55]","{'hashtags': [{'text': 'justdoit', 'indices': [46, 55]}], 'symbols': [], 'user_mentions': [], 'urls': []}",actually id rather tell justdoit,1.03809E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,739,307,FALSE,308284211,en,justdoit
Fri Sep 07 15:58:08 +0000 2018,"[34, 311]","{'hashtags': [{'text': 'JustDoIt', 'indices': [302, 311]}], 'symbols': [], 'user_mentions': [{'screen_name': 'RobMacD22607147', 'name': 'luvyesmusic', 'id': 871952123361153024, 'id_str': '871952123361153024', 'indices': [0, 16]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [17, 33]}, {'screen_name': 'realDonaldTrump', 'name': 'Donald J. Trump', 'id': 25073877, 'id_str': '25073877', 'indices': [91, 107]}, {'screen_name': 'TheDemocrats', 'name': 'The Democrats', 'id': 14377605, 'id_str': '14377605', 'indices': [109, 122]}], 'urls': []}",robmacd realdonaldtrump um wrong patriotic person realdonaldtrump thedemocrats understand speaking injustice patriotic love flag national anthem kneel make sure stand upheld justdoit,1.03809E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",1,2596,42,FALSE,7.51E+17,en,JustDoIt
Fri Sep 07 15:57:59 +0000 2018,"[25, 124]","{'hashtags': [{'text': 'justdoit', 'indices': [115, 124]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MJain_TD', 'name': 'Manish Jain', 'id': 971093594256756736, 'id_str': '971093594256756736', 'indices': [0, 9]}, {'screen_name': 'jmcollins1515', 'name': 'Jamie Collins', 'id': 2674301168, 'id_str': '2674301168', 'indices': [10, 24]}, {'screen_name': 'MJain_TD', 'name': 'Manish Jain', 'id': 971093594256756736, 'id_str': '971093594256756736', 'indices': [83, 92]}], 'urls': [], 'media': [{'id': 1038094013902061568, 'id_str': '1038094013902061568', 'indices': [125, 148], 'media_url': 'http://pbs.twimg.com/media/DmgNAW4XgAAKGPD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DmgNAW4XgAAKGPD.jpg', 'url': 'https://t.co/cSR7j9HI2K', 'display_url': 'pic.twitter.com/cSR7j9HI2K', 'expanded_url': 'https://twitter.com/RGriscti/status/1038094034269601795/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}}]}",jmcollins heres behind scenes view giving new meaning justdoit,1.03809E+18,en,"{'iso_language_code': 'en', 'result_type': 'recent'}",0,2142,209,FALSE,395919098,en,justdoit
